brand,product_name,shipping
GIGABYTE,GIGABYTE AORUS GeForce GTX 1070 GV-N1070IXEB-8GD Gaming Box,$6.99 Shipping
EVGA,EVGA GeForce GTX 1080 CLASSIFIED GAMING ACX 3.0| 08G-P4-6386-KR| 8GB GDDR5X| RGB LED| 10 CM Fan| 14 Power Phases| Double BIOS| DX12 OSD Support (PXOC),$4.99 Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC Video Card,$4.99 Shipping
ASUS,ASUS ROG Strix GeForce GTX 1080 8GB 11Gbps OC Edition VR Ready HDMI DP DVI Gaming Graphics Card (ROG-STRIX-GTX1080-O8G-11GPBS),Free Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti ArcticStorm 11GB GDDR5X 352-bit PCIE 3.0 Gaming Graphics Card VR Ready 16+2 Power Phase Spectra Lighting Metal Wraparound Backplate ZT-P10810E-30P,$4.99 Shipping
MSI,MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 2G OC Video Card,$3.99 Shipping
XFX,XFX Radeon RX 460 DirectX 12 RX-460P2DFG5 Video Card,$3.99 Shipping
XFX,XFX Radeon HD 6570 DirectX 11 HD-657X-2NL2 Video Card,$3.99 Shipping
ASUS,ASUS Radeon RX 560 2GB OC Edition GDDR5 DP HDMI DVI AMD Graphics Card (RX560-O2G),$3.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L Video Card,$3.99 Shipping
